"実行日時: 2026-03-03 13:47:34"

"検索条件"
"集計単位: キーワード"
"集計期間: 全期間で集計 2026-02-23 - 2026-03-01"
"■■■■■商品・キーワードCPCを設定される際にはここから上は行ごと削除してください■■■■■"
"コントロールカラム","日付","商品ページURL","商品管理番号","キーワード","CTR(%)","目安CPC","キーワードCPC","クリック数(合計)","実績額(合計)","CPC実績(合計)","クリック数(新規)","実績額(新規)","CPC実績(新規)","クリック数(既存)","実績額(既存)","CPC実績(既存)","売上金額(合計12時間)","売上件数(合計12時間)","CVR(合計12時間)(%)","ROAS(合計12時間)(%)","注文獲得単価(合計12時間)","売上金額(合計720時間)","売上件数(合計720時間)","CVR(合計720時間)(%)","ROAS(合計720時間)(%)","注文獲得単価(合計720時間)","売上金額(新規12時間)","売上件数(新規12時間)","CVR(新規12時間)(%)","ROAS(新規12時間)(%)","注文獲得単価(新規12時間)","売上金額(新規720時間)","売上件数(新規720時間)","CVR(新規720時間)(%)","ROAS(新規720時間)(%)","注文獲得単価(新規720時間)","売上金額(既存12時間)","売上件数(既存12時間)","CVR(既存12時間)(%)","ROAS(既存12時間)(%)","注文獲得単価(既存12時間)","売上金額(既存720時間)","売上件数(既存720時間)","CVR(既存720時間)(%)","ROAS(既存720時間)(%)","注文獲得単価(既存720時間)"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv035-yokoof/","uv035-yokoof","マグネットシート 車","4.45","40","","7","560","80","7","560","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv035-yokoof/","uv035-yokoof","文字シール","1.85","40","","3","200","67","3","200","67","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv035-yokoof/","uv035-yokoof","表札 シール","8.34","54","","61","4304","71","59","4144","71","2","160","80","8740","6","9.83","203.06","718","8740","6","9.83","203.06","718","8740","6","10.16","210.90","691","8740","6","10.16","210.90","691","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv035-yokoof/","uv035-yokoof","表札 マグネット","4.80","178","","24","1812","76","24","1812","76","0","0","0","2260","2","8.33","124.72","906","5658","3","12.50","312.25","604","2260","2","8.33","124.72","906","5658","3","12.50","312.25","604","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv034-yokonesi/","uv034-yokonesi","ポスト 表札 シール","4.44","139","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv033-yokoneu/","uv033-yokoneu","表札 シール","1.21","240","","4","567","142","3","405","135","1","162","162","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv033-yokoneu/","uv033-yokoneu","表札 プレート","3.37","157","","3","486","162","3","486","162","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv033-yokoneu/","uv033-yokoneu","表札 猫","8.18","106","","9","1129","126","9","1129","126","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv032-seinebi/","uv032-seinebi","ポスト 表札 シール","3.77","137","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv031-seinesi/","uv031-seinesi","表札 シール","8.33","142","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv030-seineu/","uv030-seineu","オリジナルステッカー","2.10","123","","2","120","60","2","120","60","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv023-clyo/","uv023-clyo","文字シール 透明","10.00","40","","1","40","40","1","40","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv021-yoko/","uv021-yoko","社名 ステッカー","11.32","40","","6","418","70","6","418","70","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/uv009-1sansya/","uv009-1sansya","産業廃棄物 ステッカー","2.94","40","","1","40","40","1","40","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk114-led/","lk114-led","ネームホルダー","0.84","97","","1","40","40","1","40","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk109-hyo-2sekiri/","lk109-hyo-2sekiri","アルファベット シール","0.38","233","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag-set/","lk108-gftag-set","キャディバッグ ネームプレート","5.80","46","","9","680","76","9","680","76","0","0","0","2998","1","11.11","440.88","680","5996","2","22.22","881.76","340","2998","1","11.11","440.88","680","5996","2","22.22","881.76","340","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag-set/","lk108-gftag-set","ゴルフ ネームプレート","0.77","172","","4","280","70","4","280","70","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag-set/","lk108-gftag-set","ゴルフネームプレート名入れ","1.76","80","","2","84","42","2","84","42","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag-set/","lk108-gftag-set","ゴルフバック ネームプレート","7.01","62","","4","280","70","4","280","70","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag/","lk108-gftag","ゴルフ ネームタグ","1.85","105","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag/","lk108-gftag","ゴルフ ネームプレート","4.16","233","","3","128","43","3","128","43","0","0","0","1998","1","33.33","1560.93","128","1998","1","33.33","1560.93","128","1998","1","33.33","1560.93","128","1998","1","33.33","1560.93","128","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag/","lk108-gftag","ゴルフネームプレート名入れ","3.38","125","","2","160","80","2","160","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk108-gftag/","lk108-gftag","ネームプレート","1.31","159","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk104-hyo-kiri/","lk104-hyo-kiri","表札 おしゃれ","4.00","209","","6","440","74","6","440","74","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk104-hyo-kiri/","lk104-hyo-kiri","表札 切り文字","1.88","167","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk103-led-hyta/","lk103-led-hyta","トロフィー","1.62","125","","2","120","60","2","120","60","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk101-hyo-ju/","lk101-hyo-ju","住所プレート","18.51","40","","5","320","64","5","320","64","0","0","0","1760","2","40.00","550.00","160","1760","2","40.00","550.00","160","1760","2","40.00","550.00","160","1760","2","40.00","550.00","160","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk101-hyo-ju/","lk101-hyo-ju","表札 住所","10.52","40","","4","284","71","4","284","71","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk101-hyo-ju/","lk101-hyo-ju","表札 番地のみ","9.52","40","","22","1460","67","22","1460","67","0","0","0","2640","3","13.63","180.82","487","2640","3","13.63","180.82","487","2640","3","13.63","180.82","487","2640","3","13.63","180.82","487","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk099-hyo-hit2-tate/","lk099-hyo-hit2-tate","表札 ひのき","8.33","40","","1","40","40","1","40","40","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk099-hyo-hit2-tate/","lk099-hyo-hit2-tate","表札 浮き彫り","2.70","143","","1","44","44","1","44","44","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk097-hyo-wayoko/","lk097-hyo-wayoko","表札 横","20.00","50","","1","100","100","1","100","100","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk092-naf-60mg/","lk092-naf-60mg","名札","1.37","176","","5","364","73","4","284","71","1","80","80","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk091-hyo-awasei-dka/","lk091-hyo-awasei-dka","表札 ガラス","1.14","87","","1","80","80","1","80","80","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk089-naf-30/","lk089-naf-30","ネームプレート","1.29","170","","1","100","100","1","100","100","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk087-naf-50/","lk087-naf-50","ネームプレート","1.43","61","","14","960","69","13","880","68","1","80","80","6986","2","14.28","727.70","480","6986","2","14.28","727.70","480","6986","2","15.38","793.86","440","6986","2","15.38","793.86","440","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk087-naf-50/","lk087-naf-50","ネームプレート 名札","6.74","40","","6","280","47","6","280","47","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk087-naf-50/","lk087-naf-50","名札","1.24","96","","8","600","75","7","520","75","1","80","80","1996","2","25.00","332.66","300","1996","2","25.00","332.66","300","1996","2","28.57","383.84","260","1996","2","28.57","383.84","260","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk087-naf-50/","lk087-naf-50","名札 クリップ","0.85","84","","7","400","58","7","400","58","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
"","2026年02月23日～2026年03月01日","https://item.rakuten.co.jp/naireya-bekkan/lk086-hyo-gawa2sei/","lk086-hyo-gawa2sei","表札 二世帯 おしゃれ","9.09","40","","2","120","60","2","120","60","0","0","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0","0","0","0.00","0.00","0"
